EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
TEK SPIKES LLC,DATA ENGINEER,"90,420","IRVING, TX",02/22/2022,02/24/2022
VEN SOLUTIONS LLC,DATA ENGINEER,"90,420","FORT WORTH, TX",04/21/2022,10/01/2022
SNOWSTACK LLC,DATA ENGINEER,"90,420","HARTFORD, CT",04/23/2022,10/01/2022
SNOWSTACK LLC,DATA ENGINEER,"90,420","IRVING, TX",04/23/2022,10/01/2022
SNOWSTACK LLC,DATA ENGINEER,"90,420","IRVING, TX",04/23/2022,10/01/2022
SNOWSTACK LLC,DATA ENGINEER,"90,420","DENTON, TX",04/27/2022,10/01/2022
AVALANCHE TECHNOLOGIES LLC,DATA ENGINEER,"90,420","ALLEN, TX",04/29/2022,10/01/2022
CLOUDSPACE LLC,DATA ENGINEER,"90,420","SCHAUMBURG, IL",05/05/2022,10/01/2022
TEK NINJAS SOLUTIONS LLC,DATA ENGINEER,"90,420","IRVING, TX",05/06/2022,05/13/2022
VEN SOLUTIONS LLC,DATA ENGINEER,"90,420","FORT WORTH, TX",05/06/2022,10/01/2022
SAS INFO INC,DATA ENGINEER,"90,420","DALLAS, TX",05/07/2022,10/01/2022
SAS INFO INC,DATA ENGINEER,"90,420","DENTON, TX",05/07/2022,10/01/2022
CLOUD SPACE LLC,DATA ENGINEER,"90,420","LEWISVILLE, TX",05/09/2022,10/01/2022
ARTIFICIAL INVENTIONS LLC,DATA ENGINEER,"90,420","HIGHLAND VILLAGE, TX",05/11/2022,10/01/2022
ARTIFICIAL INVENTIONS LLC,DATA ENGINEER,"90,420","FORT WORTH, TX",05/11/2022,10/01/2022
SHRIVE SOLUTIONS LLC,DATA ENGINEER,"90,420","IRVING, TX",05/15/2022,10/01/2022
ZENSPACE IT LLC,DATA ENGINEER,"90,420","PLANO, TX",05/15/2022,10/01/2022
VTECHINFO INC,DATA ENGINEER,"90,420","PLANO, TX",05/19/2022,10/01/2022
SHRIVE SOLUTIONS LLC,DATA ENGINEER,"90,420","PHILADELPHIA, PA",05/23/2022,10/01/2022
VTECHINFO INC,DATA ENGINEER,"90,420","IRVING, TX",05/26/2022,10/01/2022
VTECHINFO INC,DATA ENGINEER,"90,420","IRVING, TX",05/26/2022,10/01/2022
ORION IT LABS INC,DATA ENGINEER,"90,420","BEAVERTON, OR",05/27/2022,10/01/2022
